sveitarfelag,ar,staerd,leiguverd,kaupverd,fasteignamat,vextir,afborgun
Borgarbyggð,2017,90-99,140750,23150000,16850000,0.06,101392.60322375191
Borgarbyggð,2017,100-109,136750,28500000,19800000,0.06,124824.58712211359
Borgarbyggð,2017,110-150,170000,25000000,15750000,0.06,109495.25186150314
Borgarbyggð,2018,50-59,100000,11500000,9780000,0.06,50367.81585629145
Borgarbyggð,2018,60-69,121523.5,13800000,10000000,0.06,60441.37902754974
Borgarbyggð,2018,70-79,130000,18500000,11925000,0.06,81026.48637751232
Borgarbyggð,2018,80-89,153000,20925000,12950000,0.06,91647.52580807812
Borgarbyggð,2018,90-99,165000,21000000,14750000,0.06,91976.01156366263
Borgarbyggð,2018,100-109,133468,16425000,14375000,0.06,71938.38047300756
Borgarbyggð,2018,110-150,180000,30500000,17400000,0.06,133584.20727103384
Borgarbyggð,2019,50-59,105886,24684000,13800000,0.053099999999999994,98872.34849127075
Borgarbyggð,2019,60-69,125711,16600000,12750000,0.053099999999999994,66491.69441561717
Borgarbyggð,2019,70-79,120000,22500000,18500000,0.053099999999999994,90124.2845994811
Borgarbyggð,2019,80-89,161500,22500000,16950000,0.053099999999999994,90124.2845994811
Borgarbyggð,2019,90-99,159620,28500000,22550000,0.053099999999999994,114157.42715934274
Borgarbyggð,2019,100-109,132000,25500000,22900000,0.053099999999999994,102140.85587941192
Borgarbyggð,2019,110-150,184500,18500000,16350000,0.053099999999999994,74102.18955957335
Borgarbyggð,2020,50-59,120000,15500000,11550000,0.0405,52035.02063095926
Borgarbyggð,2020,60-69,136637,17500000,17000000,0.0405,58749.216841405614
Borgarbyggð,2020,70-79,115000,18000000,17150000,0.0405,60427.765894017204
Borgarbyggð,2020,80-89,160000,24400000,24500000,0.0405,81913.19376744555
Borgarbyggð,2020,90-99,170000,28900000,26900000,0.0405,97020.13524094985
Borgarbyggð,2020,100-109,142500,27750000,26800000,0.0405,93159.4724199432
Borgarbyggð,2020,110-150,195000,31500000,24200000,0.0405,105748.59031453011
Borgarbyggð,2021,50-59,116000,15900000,14100000,0.037875,51331.13927923279
Borgarbyggð,2021,60-69,120000,15900000,14250000,0.037875,51331.13927923279
Borgarbyggð,2021,70-79,90000,23000000,19850000,0.037875,74252.59141021095
Borgarbyggð,2021,80-89,120000,30000000,21150000,0.037875,96851.20618723168
Borgarbyggð,2021,90-99,176425,27750000,22200000,0.037875,89587.3657231893
Borgarbyggð,2021,100-109,160000,29500000,24900000,0.037875,95237.01941744449
Borgarbyggð,2021,110-150,194500,33000000,26275000,0.037875,106536.32680595486
Borgarbyggð,2022,50-59,120000,18575000,9805000,0.06,81354.97213309685
Borgarbyggð,2022,60-69,156900,29400000,19000000,0.06,128766.4161891277
Borgarbyggð,2022,70-79,110000,32750000,23850000,0.06,143438.77993856912
